model,P_Low,R_Low,F1_Low,P_Medium,R_Medium,F1_Medium,P_High,R_High,F1_High,Weighted_F1,Accuracy
Cost_W1_current,0.5833,0.3684,0.4516,0.5099,0.9759,0.6698,0.9913,0.4673,0.6352,0.6434,0.65
Time_W1_current,0.9375,0.5357,0.6818,0.387,0.9958,0.5574,1.0,0.3171,0.4815,0.5112,0.5275
Cost_W2_ml_heavy,0.5,0.2632,0.3448,0.6952,0.9485,0.8023,0.9746,0.7816,0.8675,0.8314,0.83
Time_W2_ml_heavy,0.9333,0.5,0.6512,0.6921,0.9874,0.8138,0.9955,0.8293,0.9048,0.8687,0.865
Cost_W3_rule_heavy,0.5,0.3158,0.3871,0.4427,0.9691,0.6078,0.9801,0.302,0.4618,0.5131,0.545
Time_W3_rule_heavy,1.0,0.3214,0.4865,0.3238,1.0,0.4893,1.0,0.0994,0.1809,0.2837,0.3762
