model,P_Low,R_Low,F1_Low,P_Medium,R_Medium,F1_Medium,P_High,R_High,F1_High,Weighted_F1,Accuracy,n_samples,monsoon_range
Cost_Q1_low,0.5,0.2308,0.3158,0.8376,0.9333,0.8829,0.871,0.75,0.806,0.817,0.8312,154,0.00-0.17
Cost_Q2_moderate,1.0,0.1667,0.2857,0.8296,0.9739,0.896,0.961,0.8043,0.8757,0.8701,0.8779,213,0.17-0.34
Cost_Q3_high,0.0,0.0,0.0,0.95,0.717,0.8172,0.8921,0.9841,0.9358,0.9007,0.905,179,0.34-0.67
Cost_Q4_very_high,0.0,0.0,0.0,0.9,0.5,0.6429,0.9631,0.9958,0.9792,0.9553,0.9606,254,0.67-1.01
Time_Q1_low,0.9167,0.5789,0.7097,0.7879,0.9398,0.8571,0.9167,0.7719,0.8381,0.8327,0.8365,159,0.00-0.17
Time_Q2_moderate,0.8333,0.5556,0.6667,0.8651,0.9083,0.8862,0.8889,0.8602,0.8743,0.8723,0.8739,222,0.17-0.34
Time_Q3_high,0.0,0.0,0.0,0.8261,0.6552,0.7308,0.939,0.9747,0.9565,0.9215,0.9251,187,0.34-0.67
Time_Q4_very_high,0.0,0.0,0.0,0.3333,0.1429,0.2,0.9738,0.9911,0.9824,0.9588,0.9655,232,0.67-1.01
