model,P_Low,R_Low,F1_Low,P_Medium,R_Medium,F1_Medium,P_High,R_High,F1_High,Weighted_F1,Accuracy
Cost_A_Rule_only,0.0239,0.5789,0.0459,0.432,0.1856,0.2596,0.7674,0.3367,0.4681,0.3822,0.2875
Cost_B_ML_only,0.0,0.0,0.0,0.587,0.8694,0.7008,0.897,0.6755,0.7707,0.727,0.73
Cost_C_Hybrid_fixed,0.131,0.5789,0.2136,0.3392,0.8007,0.4765,1.0,0.0592,0.1118,0.2468,0.3412
Cost_D_Hybrid_adaptive,0.125,0.5789,0.2056,0.3397,0.7973,0.4764,1.0,0.0592,0.1118,0.2466,0.34
Time_A_Rule_only,0.1111,0.4643,0.1793,0.2742,0.6987,0.3939,0.9189,0.1276,0.2241,0.2732,0.31
Time_B_ML_only,0.0,0.0,0.0,0.6,0.5649,0.5819,0.8174,0.8818,0.8484,0.7391,0.7562
Time_C_Hybrid_fixed,0.0,0.0,0.0,0.4021,0.9707,0.5686,0.9686,0.4053,0.5714,0.5506,0.56
Time_D_Hybrid_adaptive,0.0,0.0,0.0,0.3982,0.9498,0.5612,0.9478,0.409,0.5714,0.5484,0.5563
